token,sentiment,score
asperse,negative,-1
aspersion,negative,-1
aspersions,negative,-1
aspiration,positive,1
aspirations,positive,1
aspire,positive,1
assail,negative,-1
assassin,negative,-1
assassinate,negative,-1
assault,negative,-1
assult,negative,-1
assurance,positive,1
assurances,positive,1
assure,positive,1
assuredly,positive,1
assuring,positive,1
astonish,positive,1
astonished,positive,1
astonishing,positive,1
astonishingly,positive,1
astonishment,positive,1
astound,positive,1
astounded,positive,1
astounding,positive,1
astoundingly,positive,1
astray,negative,-1
astutely,positive,1
asunder,negative,-1
atrocious,negative,-1
atrocities,negative,-1
atrocity,negative,-1
atrophy,negative,-1
attack,negative,-1
attacks,negative,-1
attentive,positive,1
attraction,positive,1
attractive,positive,1
attractively,positive,1
attune,positive,1
audacious,negative,-1
audaciously,negative,-1
audaciousness,negative,-1
audacity,negative,-1
audible,positive,1
audibly,positive,1
audiciously,negative,-1
auspicious,positive,1
austere,negative,-1
authentic,positive,1
authoritarian,negative,-1
authoritative,positive,1
autocrat,negative,-1
autocratic,negative,-1
autonomous,positive,1
available,positive,1
avalanche,negative,-1
avarice,negative,-1
avaricious,negative,-1
avariciously,negative,-1
avenge,negative,-1
aver,positive,1
averse,negative,-1
aversion,negative,-1
avid,positive,1
avidly,positive,1
award,positive,1
awarded,positive,1
awards,positive,1
awe,positive,1
awed,positive,1
aweful,negative,-1
awesome,positive,1
awesomely,positive,1
awesomeness,positive,1
awestruck,positive,1
awful,negative,-1
awfully,negative,-1
awfulness,negative,-1
awkward,negative,-1
awkwardness,negative,-1
awsome,positive,1
ax,negative,-1
babble,negative,-1
back-logged,negative,-1
back-wood,negative,-1
back-woods,negative,-1
backache,negative,-1
backaches,negative,-1
backaching,negative,-1
backbite,negative,-1
backbiting,negative,-1
backbone,positive,1
backward,negative,-1
backwardness,negative,-1
backwood,negative,-1
backwoods,negative,-1
bad,negative,-1
badly,negative,-1
baffle,negative,-1
baffled,negative,-1
bafflement,negative,-1
baffling,negative,-1
bait,negative,-1
balanced,positive,1
balk,negative,-1
banal,negative,-1
banalize,negative,-1
bane,negative,-1
banish,negative,-1
banishment,negative,-1
bankrupt,negative,-1
barbarian,negative,-1
barbaric,negative,-1
barbarically,negative,-1
barbarity,negative,-1
barbarous,negative,-1
barbarously,negative,-1
bargain,positive,1
barren,negative,-1
baseless,negative,-1
bash,negative,-1
bashed,negative,-1
bashful,negative,-1
bashing,negative,-1
bastard,negative,-1
bastards,negative,-1
battered,negative,-1
battering,negative,-1
batty,negative,-1
bearish,negative,-1
beastly,negative,-1
beauteous,positive,1
beautiful,positive,1
beautifullly,positive,1
beautifully,positive,1
beautify,positive,1
beauty,positive,1
beckon,positive,1
beckoned,positive,1
beckoning,positive,1
beckons,positive,1
bedlam,negative,-1
bedlamite,negative,-1
befoul,negative,-1
beg,negative,-1
beggar,negative,-1
beggarly,negative,-1
begging,negative,-1
beguile,negative,-1
belabor,negative,-1
belated,negative,-1
beleaguer,negative,-1
belie,negative,-1
believable,positive,1
believeable,positive,1
belittle,negative,-1
belittled,negative,-1
belittling,negative,-1
bellicose,negative,-1
belligerence,negative,-1
belligerent,negative,-1
belligerently,negative,-1
beloved,positive,1
bemoan,negative,-1
bemoaning,negative,-1
bemused,negative,-1
benefactor,positive,1
beneficent,positive,1
beneficial,positive,1
beneficially,positive,1
beneficiary,positive,1
benefit,positive,1
benefits,positive,1
benevolence,positive,1
benevolent,positive,1
benifits,positive,1
bent,negative,-1
berate,negative,-1
bereave,negative,-1
bereavement,negative,-1
bereft,negative,-1
berserk,negative,-1
beseech,negative,-1
beset,negative,-1
besiege,negative,-1
besmirch,negative,-1
best,positive,1
best-known,positive,1
best-performing,positive,1
best-selling,positive,1
bestial,negative,-1
betray,negative,-1
betrayal,negative,-1
betrayals,negative,-1
betrayer,negative,-1
betraying,negative,-1
betrays,negative,-1
better,positive,1
better-known,positive,1
better-than-expected,positive,1
beutifully,positive,1
bewail,negative,-1
beware,negative,-1
bewilder,negative,-1
bewildered,negative,-1
bewildering,negative,-1
bewilderingly,negative,-1
bewilderment,negative,-1
bewitch,negative,-1
bias,negative,-1
biased,negative,-1
biases,negative,-1
bicker,negative,-1
bickering,negative,-1
bid-rigging,negative,-1
bigotries,negative,-1
bigotry,negative,-1
bitch,negative,-1
bitchy,negative,-1
biting,negative,-1
bitingly,negative,-1
bitter,negative,-1
bitterly,negative,-1
bitterness,negative,-1
bizarre,negative,-1
blab,negative,-1
blabber,negative,-1
blackmail,negative,-1
blah,negative,-1
blame,negative,-1
blameless,positive,1
blameworthy,negative,-1
bland,negative,-1
blandish,negative,-1
blaspheme,negative,-1
blasphemous,negative,-1
blasphemy,negative,-1
blasted,negative,-1
blatant,negative,-1
blatantly,negative,-1
blather,negative,-1
bleak,negative,-1
bleakly,negative,-1
bleakness,negative,-1
bleed,negative,-1
bleeding,negative,-1
bleeds,negative,-1
blemish,negative,-1
bless,positive,1
