token
aint
aint no
arent
cannot
cant
couldnt
darent
despite
didnt
doesnt
dont
hadnt
hasnt
havent
isnt
mightnt
mustnt
neednt
neither
never
none
nope
nor
not
nothing
nowhere
oughtnt
rarely
seldom
shant
shouldnt
uh-uh
uhuh
wasnt
werent
without
wont
wouldnt
